0
47 {Int32} @2025-02-02T14:53:34.235; GoodNonspecific (192)
0 {Int16} @2025-02-02T14:53:34.256; GoodNonspecific (192)
0
35 {Int32} @2025-02-02T21:22:11.594; GoodNonspecific (192)
-12 {Int16} @2025-02-02T21:22:11.615; GoodNonspecific (192)
0
51 {Int32} @2025-02-02T21:45:12.929; GoodNonspecific (192)
42 {Int16} @2025-02-02T21:45:12.951; GoodNonspecific (192)
0
63 {Int32} @2025-02-02T21:45:52.027; GoodNonspecific (192)
-9 {Int16} @2025-02-02T21:45:52.059; GoodNonspecific (192)
0
55 {Int32} @2025-02-02T21:46:36.882; GoodNonspecific (192)
51 {Int16} @2025-02-02T21:46:36.904; GoodNonspecific (192)
0
59 {Int32} @2025-02-02T21:49:41.636; GoodNonspecific (192)
28 {Int16} @2025-02-02T21:49:41.667; GoodNonspecific (192)
0
43 {Int32} @2025-02-02T21:49:56.146; GoodNonspecific (192)
68 {Int16} @2025-02-02T21:49:56.167; GoodNonspecific (192)
0
55 {Int32} @2025-02-02T21:51:35.363; GoodNonspecific (192)
65 {Int16} @2025-02-02T21:51:35.394; GoodNonspecific (192)
Success; 55 {Int32} @2025-02-02T21:51:35.363; GoodNonspecific (192),"Success; 150,75 {Single} @2025-02-02T21:51:35.459; GoodNonspecific (192)",Success; 65 {Int16} @2025-02-02T21:51:35.394; GoodNonspecific (192),Success; 0 {Int32} @2025-02-02T21:51:35.459; GoodNonspecific (192)
0
71 {Int32} @2025-02-02T21:52:33.584; GoodNonspecific (192)
33 {Int16} @2025-02-02T21:52:33.605; GoodNonspecific (192)
0
51 {Int32} @2025-02-02T21:53:56.680; GoodNonspecific (192)
34 {Int16} @2025-02-02T21:53:56.713; GoodNonspecific (192)
0
63 {Int32} @2025-02-02T21:54:18.708; GoodNonspecific (192)
25 {Int16} @2025-02-02T21:54:18.741; GoodNonspecific (192)
0
99 {Int32} @2025-02-02T21:54:37.079; GoodNonspecific (192)
74 {Int16} @2025-02-02T21:54:37.100; GoodNonspecific (192)
0
79 {Int32} @2025-02-02T21:57:21.165; GoodNonspecific (192)
31 {Int16} @2025-02-02T21:57:21.186; GoodNonspecific (192)
0
75 {Int32} @2025-02-02T21:58:25.376; GoodNonspecific (192)
10 {Int16} @2025-02-02T21:58:25.397; GoodNonspecific (192)
0
99 {Int32} @2025-02-02T22:00:48.222; GoodNonspecific (192)
39 {Int16} @2025-02-02T22:00:48.243; GoodNonspecific (192)
